Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Carl Cunningham,CunnCa20,http://www.pro-football-reference.com/players/C/CunnCa20.htm,
Carel Stith,StitCa20,http://www.pro-football-reference.com/players/S/StitCa20.htm,
Al Coleman,ColeAl20,http://www.pro-football-reference.com/players/C/ColeAl20.htm,
Lew Kamanu,KamaLe20,http://www.pro-football-reference.com/players/K/KamaLe20.htm,
Ray May,MayxRa20,http://www.pro-football-reference.com/players/M/MayxRa20.htm,
Al Dodd,DoddAl00,http://www.pro-football-reference.com/players/D/DoddAl00.htm,
Wayne Trimble,TrimWa20,http://www.pro-football-reference.com/players/T/TrimWa20.htm,http://www.sports-reference.com/cfb/players/wayne-trimble-1.html
Julian Gray,,http://www.pro-football-reference.com,
Travis Williams,WillTr00,http://www.pro-football-reference.com/players/W/WillTr00.htm,
Dickie Post,PostDi00,http://www.pro-football-reference.com/players/P/PostDi00.htm,
Tom Greenlee,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/tom-greenlee-1.html
James Roy Jackson,,http://www.pro-football-reference.com,
Mike Barnes,BarnMi20,http://www.pro-football-reference.com/players/B/BarnMi20.htm,
Joe Taffoni,TaffJo20,http://www.pro-football-reference.com/players/T/TaffJo20.htm,
Chuck Hughes,HughCh00,http://www.pro-football-reference.com/players/H/HughCh00.htm,
Charlie Stukes,StukCh20,http://www.pro-football-reference.com/players/S/StukCh20.htm,
Ed Philpott,PhilEd21,http://www.pro-football-reference.com/players/P/PhilEd21.htm,
Gary Bugenhagen,BugeGa20,http://www.pro-football-reference.com/players/B/BugeGa20.htm,
Curtis Marker,,http://www.pro-football-reference.com,
Ron Zwernemann,,http://www.pro-football-reference.com,
Andy Bowling,BowlAn20,http://www.pro-football-reference.com/players/B/BowlAn20.htm,
Bill Carr,,http://www.pro-football-reference.com,
Tom Stangle,,http://www.pro-football-reference.com,
Don McCall,McCaDo01,http://www.pro-football-reference.com/players/M/McCaDo01.htm,http://www.sports-reference.com/cfb/players/don-mccall-1.html
Dave Lewis,LewiDa22,http://www.pro-football-reference.com/players/L/LewiDa22.htm,http://www.sports-reference.com/cfb/players/dave-lewis-1.html
Fran Lynch,LyncFr00,http://www.pro-football-reference.com/players/L/LyncFr00.htm,
Pete Johns,JohnPe20,http://www.pro-football-reference.com/players/J/JohnPe20.htm,http://www.sports-reference.com/cfb/players/pete-johns-1.html
Bill Delaney,,http://www.pro-football-reference.com,
John Huard,HuarJo20,http://www.pro-football-reference.com/players/H/HuarJo20.htm,
Bob Van Pelt,,http://www.pro-football-reference.com,
Ken Last,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/kenny-last-1.html
Dwight Hood,,http://www.pro-football-reference.com,
Louis Jackson,,http://www.pro-football-reference.com,
Willie Parker,ParkWi21,http://www.pro-football-reference.com/players/P/ParkWi21.htm,
Bruce Alford,AlfoBr20,http://www.pro-football-reference.com/players/A/AlfoBr20.htm,
Randy Matson,,http://www.pro-football-reference.com,
Bernie Erickson,EricBe20,http://www.pro-football-reference.com/players/E/EricBe20.htm,
Nate Shaw,ShawNa20,http://www.pro-football-reference.com/players/S/ShawNa20.htm,http://www.sports-reference.com/cfb/players/nate-shaw-1.html
Jamie Rivers,RiveJa20,http://www.pro-football-reference.com/players/R/RiveJa20.htm,
Gerald Warfield,,http://www.pro-football-reference.com,
Dick Absher,AbshDi20,http://www.pro-football-reference.com/players/A/AbshDi20.htm,http://www.sports-reference.com/cfb/players/dick-absher-1.html
Ron Porter,PortRo21,http://www.pro-football-reference.com/players/P/PortRo21.htm,
Zeke Moore,MoorZe00,http://www.pro-football-reference.com/players/M/MoorZe00.htm,
Mel Witt,WittMe20,http://www.pro-football-reference.com/players/W/WittMe20.htm,
Gary Tucker,TuckGa00,http://www.pro-football-reference.com/players/T/TuckGa00.htm,
Richard Tate,,http://www.pro-football-reference.com,
Mike Hibler,HiblMi20,http://www.pro-football-reference.com/players/H/HiblMi20.htm,
Jay Bachman,BachJa20,http://www.pro-football-reference.com/players/B/BachJa20.htm,
John Douglas,DougJo21,http://www.pro-football-reference.com/players/D/DougJo21.htm,
George Harvey,HarvGe20,http://www.pro-football-reference.com/players/H/HarvGe20.htm,
Don Bandy,BandDo20,http://www.pro-football-reference.com/players/B/BandDo20.htm,
Pete Barnes,BarnPe20,http://www.pro-football-reference.com/players/B/BarnPe20.htm,
Terry Southall,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/terry-southall-1.html
Bud Norris,,http://www.pro-football-reference.com,
Neal Sweeney,SweeNe00,http://www.pro-football-reference.com/players/S/SweeNe00.htm,
Mike Haggerty,HaggMi20,http://www.pro-football-reference.com/players/H/HaggMi20.htm,
Tim Jones,,http://www.pro-football-reference.com,
Virgil Carter,CartVi00,http://www.pro-football-reference.com/players/C/CartVi00.htm,http://www.sports-reference.com/cfb/players/virgil-carter-1.html
Doug Kriewald,KrieDo20,http://www.pro-football-reference.com/players/K/KrieDo20.htm,
John McCambridge,McCaJo21,http://www.pro-football-reference.com/players/M/McCaJo21.htm,
Doug Cunningham,CunnDo00,http://www.pro-football-reference.com/players/C/CunnDo00.htm,http://www.sports-reference.com/cfb/players/doug-cunningham-1.html
Jeff Richardson,RichJe20,http://www.pro-football-reference.com/players/R/RichJe20.htm,
Nate Johns,,http://www.pro-football-reference.com,
Eugene Snipes,,http://www.pro-football-reference.com,
Bill Wilkerson,,http://www.pro-football-reference.com,
Mike Campbell,CampMi00,http://www.pro-football-reference.com/players/C/CampMi00.htm,
Martine Bercher,,http://www.pro-football-reference.com,
John Demarie,DemaJo20,http://www.pro-football-reference.com/players/D/DemaJo20.htm,
Bob Hughes,HughBo20,http://www.pro-football-reference.com/players/H/HughBo20.htm,
Ron Medlen,,http://www.pro-football-reference.com,
Rick Egloff,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/rick-egloff-1.html
Noland Smith,SmitNo00,http://www.pro-football-reference.com/players/S/SmitNo00.htm,
Sims Stokes,StokSi20,http://www.pro-football-reference.com/players/S/StokSi20.htm,http://www.sports-reference.com/cfb/players/sims-stokes-1.html
Stew Williams,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/stew-williams-1.html
Bo Wood,WoodBo20,http://www.pro-football-reference.com/players/W/WoodBo20.htm,http://www.sports-reference.com/cfb/players/bo-wood-1.html
Gary Hertzog,,http://www.pro-football-reference.com,
Bob Ziolkowski,,http://www.pro-football-reference.com,
Corey Colehour,,http://www.pro-football-reference.com,
Larry Seiple,SeipLa20,http://www.pro-football-reference.com/players/S/SeipLa20.htm,http://www.sports-reference.com/cfb/players/larry-seiple-1.html
Ed Carrington,CarrEd21,http://www.pro-football-reference.com/players/C/CarrEd21.htm,http://www.sports-reference.com/cfb/players/ed-carrington-1.html
Frank Richter,RichFr20,http://www.pro-football-reference.com/players/R/RichFr20.htm,http://www.sports-reference.com/cfb/players/frank-richter-1.html
Ted Tuinstra,,http://www.pro-football-reference.com,
Bobby Bryant,BryaBo01,http://www.pro-football-reference.com/players/B/BryaBo01.htm,http://www.sports-reference.com/cfb/players/bobby-bryant-1.html
Bruce Matte,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bruce-matte-1.html
John Truitt,,http://www.pro-football-reference.com,
Milt Jackson,,http://www.pro-football-reference.com,
John Elliott,ElliJo00,http://www.pro-football-reference.com/players/E/ElliJo00.htm,
John Love,LoveJo00,http://www.pro-football-reference.com/players/L/LoveJo00.htm,
Dave Conway,ConwDa20,http://www.pro-football-reference.com/players/C/ConwDa20.htm,http://www.sports-reference.com/cfb/players/david-conway-1.html
John Williams,,http://www.pro-football-reference.com,
Joe Randall,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/joe-randall-1.html
Ron Lewellen,,http://www.pro-football-reference.com,
Bill House,,http://www.pro-football-reference.com,
Bob Crenshaw,,http://www.pro-football-reference.com,
Bo Rein,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bo-rein-1.html
Bobby Leo,LeoxBo00,http://www.pro-football-reference.com/players/L/LeoxBo00.htm,
George Gaiser,GaisGe20,http://www.pro-football-reference.com/players/G/GaisGe20.htm,
Rayfield Wright,WrigRa01,http://www.pro-football-reference.com/players/W/WrigRa01.htm,
Dick Erickson,,http://www.pro-football-reference.com,
